SubVertical,total_startups
Food Ordering Portal,1
Tutor Discovery & Booking platform,1
Online Marketplace for Wedding Venues and vendors,1
Tech Enabled Laundry Service Provider,1
API Platform,1
On Demand Cleaning Services Mobile App,1
Online Stock Trading Platform,1
Smart Online address tags,1
Mobile based private tutoring services,1
Visual Search & Image Recognition Platform,1
Online Funds Raising Platform,1
inter-city cab aggregator,1
hyperlocal delivery and logistics mobile app,1
Mobile based on-demand Beauty Services platform,1
Cross Platform P2P file sharing mobile app,1
Hyperlocal Grocery Delivery Service,1
Online Pharmacy portal,1
Home Loans Aggregation platform,1
co-working spaces,1
Legal Advice Platform,1
On-Demand Healthcare Service provider,1
online marketplace for wedding venues and vendors,1
Casual Gaming platform,1
Assisted Learning Startup,1
Expert Advice Platform,1
Healthcare related solutions,1
Employee engagement platform,1
Mobile & Digital Wallet,1
interior design and home furnishing portal,1
Mobile based Children health Information app,1
